As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
27/May/2021;EUR;5,46;68.294.769,00;372.899.048,43;109,19;110,38
26/May/2021;EUR;5,46;75.260.172,00;410.669.885,53;109,12;110,32
25/May/2021;EUR;5,45;69.910.172,00;381.190.343,81;109,04;110,24
24/May/2021;EUR;5,45;75.123.836,00;409.383.041,87;108,98;110,18
21/May/2021;EUR;5,45;74.523.836,00;406.009.223,98;108,95;110,12
20/May/2021;EUR;5,45;65.860.742,00;358.685.283,27;108,91;110,08
19/May/2021;EUR;5,45;63.364.447,00;345.127.488,00;108,92;110,10
18/May/2021;EUR;5,45;73.685.831,00;401.479.369,22;108,96;110,14
17/May/2021;EUR;5,45;73.785.843,00;401.889.290,22;108,92;110,11
14/May/2021;EUR;5,44;81.985.843,00;446.355.052,21;108,87;110,04
13/May/2021;EUR;5,44;105.321.543,00;573.282.690,37;108,85;110,02
12/May/2021;EUR;5,45;111.242.545,00;605.990.523,33;108,94;110,12
11/May/2021;EUR;5,45;111.242.545,00;606.405.991,17;109,01;110,20
10/May/2021;EUR;5,46;110.998.588,00;605.517.908,07;109,09;110,29
07/May/2021;EUR;5,45;111.418.588,00;607.764.842,22;109,08;110,26
06/May/2021;EUR;5,46;113.818.588,00;620.890.646,43;109,09;110,26
05/May/2021;EUR;5,46;113.608.588,00;619.789.738,86;109,10;110,29
04/May/2021;EUR;5,46;111.028.588,00;605.735.082,04;109,10;110,29
30/Apr/2021;EUR;5,45;111.741.698,00;609.382.412,98;109,06;110,23
29/Apr/2021;EUR;5,45;111.501.698,00;607.876.522,07;109,02;110,19
28/Apr/2021;EUR;5,45;111.501.698,00;607.440.608,34;108,94;110,15
27/Apr/2021;EUR;5,45;111.461.686,00;607.135.872,06;108,93;110,13
26/Apr/2021;EUR;5,45;108.361.686,00;590.176.718,53;108,92;110,12
23/Apr/2021;EUR;5,45;108.361.686,00;590.172.936,82;108,92;110,08
22/Apr/2021;EUR;5,45;108.361.686,00;590.123.740,87;108,91;110,08
21/Apr/2021;EUR;5,44;108.341.686,00;589.824.804,57;108,87;110,06
20/Apr/2021;EUR;5,45;108.341.686,00;590.145.136,18;108,93;110,12
19/Apr/2021;EUR;5,45;108.529.348,00;591.839.448,69;109,05;110,24
16/Apr/2021;EUR;5,45;106.652.748,00;581.688.861,94;109,07;110,23
15/Apr/2021;EUR;5,45;106.652.748,00;581.439.292,96;109,02;110,18
14/Apr/2021;EUR;5,45;106.496.577,00;580.318.028,92;108,97;110,15
13/Apr/2021;EUR;5,45;106.215.089,00;578.836.968,42;108,98;110,16
12/Apr/2021;EUR;5,45;106.215.089,00;578.952.895,64;109,00;110,18
09/Apr/2021;EUR;5,45;106.102.493,00;578.233.544,16;108,98;110,14
08/Apr/2021;EUR;5,45;106.102.493,00;578.139.610,45;108,97;110,12
07/Apr/2021;EUR;5,44;105.698.232,00;575.502.537,11;108,88;110,06
06/Apr/2021;EUR;5,44;104.087.172,00;566.364.726,78;108,81;109,99
01/Apr/2021;EUR;5,43;104.087.172,00;565.443.058,10;108,64;109,76
31/Mar/2021;EUR;5,43;104.245.383,00;565.549.327,94;108,49;109,63
30/Mar/2021;EUR;5,42;102.245.383,00;554.212.135,55;108,40;109,60
29/Mar/2021;EUR;5,42;94.372.168,00;511.563.647,81;108,40;109,60
26/Mar/2021;EUR;5,42;83.422.500,00;452.110.939,33;108,38;109,56
