As Of;Currency;NAV;Securities In Issue;Net Assets;Fund Return Series;Benchmark Return Series
31/May/2018;EUR;4,96;6.590.971,00;32.723.282,97;99,29;99,31
30/May/2018;EUR;4,95;6.700.971,00;33.201.068,36;99,08;99,14
29/May/2018;EUR;4,96;6.600.971,00;32.719.535,58;99,13;99,17
25/May/2018;EUR;4,99;6.350.971,00;31.683.686,64;99,77;99,77
24/May/2018;EUR;5,00;5.850.971,00;29.240.296,98;99,94;99,94
23/May/2018;EUR;5,00;5.850.971,00;29.231.458,16;99,91;99,94
22/May/2018;EUR;5,01;5.850.971,00;29.287.615,40;100,10;100,13
21/May/2018;EUR;5,01;6.400.971,00;32.044.142,77;100,11;100,14
18/May/2018;EUR;5,01;6.400.971,00;32.082.319,21;100,23;100,23
17/May/2018;EUR;5,02;6.400.971,00;32.106.829,73;100,31;100,31
16/May/2018;EUR;5,02;6.400.971,00;32.113.173,53;100,33;100,35
15/May/2018;EUR;5,02;3.968.202,00;19.923.223,76;100,40;100,42
14/May/2018;EUR;5,02;3.968.202,00;19.927.880,56;100,43;100,45
11/May/2018;EUR;5,02;3.968.202,00;19.927.668,15;100,43;100,42
10/May/2018;EUR;5,02;3.868.967,00;19.423.436,99;100,40;100,39
09/May/2018;EUR;5,02;3.868.967,00;19.417.456,06;100,36;100,37
08/May/2018;EUR;5,02;3.868.967,00;19.418.173,10;100,37;100,38
04/May/2018;EUR;5,02;3.868.967,00;19.422.393,71;100,39;100,35
03/May/2018;EUR;5,02;3.868.967,00;19.436.416,41;100,46;100,42
02/May/2018;EUR;5,02;3.868.967,00;19.434.806,03;100,45;100,45
01/May/2018;EUR;5,02;3.868.967,00;19.436.682,24;100,46;100,46
30/Apr/2018;EUR;5,02;3.868.967,00;19.434.219,18;100,45;100,47
27/Apr/2018;EUR;5,02;3.868.967,00;19.430.513,89;100,43;100,44
26/Apr/2018;EUR;5,02;3.806.967,00;19.110.823,66;100,39;100,40
25/Apr/2018;EUR;5,02;3.806.967,00;19.113.870,11;100,40;100,44
24/Apr/2018;EUR;5,03;3.806.967,00;19.132.116,03;100,50;100,54
23/Apr/2018;EUR;5,02;3.785.967,00;19.022.449,75;100,48;100,52
20/Apr/2018;EUR;5,03;3.785.967,00;19.029.293,83;100,51;100,53
19/Apr/2018;EUR;5,03;3.785.967,00;19.034.305,39;100,54;100,55
18/Apr/2018;EUR;5,03;3.725.967,00;18.754.256,76;100,66;100,69
17/Apr/2018;EUR;5,03;3.725.967,00;18.759.222,39;100,68;100,71
16/Apr/2018;EUR;5,03;3.725.967,00;18.743.540,91;100,60;100,63
13/Apr/2018;EUR;5,03;3.425.967,00;17.227.221,85;100,56;100,56
12/Apr/2018;EUR;5,02;3.425.967,00;17.197.739,60;100,39;100,39
11/Apr/2018;EUR;5,01;3.508.320,00;17.587.470,37;100,25;100,27
10/Apr/2018;EUR;5,01;3.508.320,00;17.571.053,83;100,16;100,18
09/Apr/2018;EUR;5,00;3.508.320,00;17.557.187,61;100,08;100,09
06/Apr/2018;EUR;5,00;3.508.320,00;17.549.398,85;100,03;100,02
05/Apr/2018;EUR;5,00;3.508.320,00;17.538.840,70;99,97;99,96
04/Apr/2018;EUR;4,99;3.508.320,00;17.522.794,29;99,88;99,88
03/Apr/2018;EUR;4,99;3.508.320,00;17.523.114,30;99,88;99,89
31/Mar/2018;EUR;5,00;--;--;--;--
30/Mar/2018;EUR;5,00;3.508.320,00;17.529.825,24;99,92;99,89
29/Mar/2018;EUR;5,00;3.508.320,00;17.529.825,24;99,92;99,89
28/Mar/2018;EUR;5,00;3.508.320,00;17.524.980,87;99,89;99,87
27/Mar/2018;EUR;5,00;3.408.320,00;17.025.126,93;99,89;99,90
26/Mar/2018;EUR;4,99;3.408.320,00;17.013.458,44;99,82;99,84
23/Mar/2018;EUR;4,99;3.408.320,00;17.012.610,08;99,82;99,81
22/Mar/2018;EUR;5,00;3.408.320,00;17.034.434,05;99,95;99,93
21/Mar/2018;EUR;5,00;3.408.320,00;17.048.200,78;100,03;100,03
20/Mar/2018;EUR;5,00;3.408.320,00;17.046.459,07;100,02;100,02
19/Mar/2018;EUR;5,01;3.408.320,00;17.066.998,98;100,14;100,14
16/Mar/2018;EUR;5,01;3.408.320,00;17.078.387,93;100,21;100,18
15/Mar/2018;EUR;5,01;3.408.320,00;17.072.679,32;100,17;100,15
14/Mar/2018;EUR;5,01;3.408.320,00;17.082.128,02;100,23;100,22
13/Mar/2018;EUR;5,02;3.408.320,00;17.095.522,47;100,31;100,30
12/Mar/2018;EUR;5,02;3.408.320,00;17.098.924,74;100,33;100,32
09/Mar/2018;EUR;5,01;3.408.320,00;17.077.284,01;100,20;100,17
08/Mar/2018;EUR;5,01;3.408.320,00;17.065.983,55;100,13;100,10
07/Mar/2018;EUR;5,00;3.408.320,00;17.049.502,95;100,04;100,02
06/Mar/2018;EUR;5,00;3.408.320,00;17.044.420,45;100,01;99,99
05/Mar/2018;EUR;5,00;3.408.320,00;17.025.545,96;99,90;99,88
02/Mar/2018;EUR;5,00;3.408.320,00;17.038.680,88;99,97;99,94
01/Mar/2018;EUR;5,00;3.408.320,00;17.051.977,80;100,05;100,01
28/Feb/2018;EUR;5,00;3.408.320,00;17.049.465,77;100,04;100,03
27/Feb/2018;EUR;5,00;3.348.320,00;16.744.822,20;100,01;100,00
26/Feb/2018;EUR;5,00;3.348.320,00;16.732.761,56;99,94;99,94
23/Feb/2018;EUR;4,99;3.348.320,00;16.724.431,37;99,89;99,87
22/Feb/2018;EUR;5,00;3.348.320,00;16.733.838,13;99,94;99,93
21/Feb/2018;EUR;5,00;3.348.320,00;16.745.345,94;100,01;100,02
20/Feb/2018;EUR;5,00;3.348.320,00;16.747.365,09;100,02;100,03
19/Feb/2018;EUR;5,01;3.348.320,00;16.759.975,69;100,10;100,10
16/Feb/2018;EUR;5,00;3.348.320,00;16.747.785,65;100,03;100,01
15/Feb/2018;EUR;4,99;3.348.320,00;16.713.295,92;99,82;99,80
14/Feb/2018;EUR;4,98;3.348.320,00;16.675.452,91;99,59;99,59
13/Feb/2018;EUR;4,98;3.348.320,00;16.689.897,03;99,68;99,67
12/Feb/2018;EUR;5,00;3.348.320,00;16.734.903,07;99,95;99,94
09/Feb/2018;EUR;5,00;3.326.320,00;16.625.026,23;99,95;99,92
08/Feb/2018;EUR;5,02;3.326.320,00;16.685.193,14;100,31;100,29
07/Feb/2018;EUR;5,02;3.326.320,00;16.685.620,19;100,31;100,31
06/Feb/2018;EUR;5,01;3.326.320,00;16.662.165,69;100,17;100,17
05/Feb/2018;EUR;5,02;3.326.320,00;16.694.117,24;100,37;100,36
02/Feb/2018;EUR;5,02;3.326.320,00;16.714.149,55;100,49;100,46
01/Feb/2018;EUR;5,03;3.226.320,00;16.237.469,38;100,65;100,62
31/Jan/2018;EUR;5,03;3.226.320,00;16.234.169,52;100,63;100,63
30/Jan/2018;EUR;5,03;3.226.320,00;16.231.116,23;100,61;100,63
29/Jan/2018;EUR;5,04;3.226.320,00;16.263.973,53;100,81;100,83
26/Jan/2018;EUR;5,05;3.226.320,00;16.277.288,53;100,89;100,89
25/Jan/2018;EUR;5,05;3.226.320,00;16.279.664,35;100,91;100,90
24/Jan/2018;EUR;5,05;3.226.320,00;16.288.600,98;100,96;100,98
23/Jan/2018;EUR;5,05;3.226.320,00;16.283.875,60;100,93;100,95
22/Jan/2018;EUR;5,04;3.026.320,00;15.264.224,23;100,87;100,89
19/Jan/2018;EUR;5,04;3.026.320,00;15.263.436,68;100,86;100,86
18/Jan/2018;EUR;5,04;3.026.320,00;15.263.307,32;100,86;100,85
17/Jan/2018;EUR;5,04;3.026.320,00;15.257.753,69;100,82;100,84
16/Jan/2018;EUR;5,04;3.026.320,00;15.259.237,72;100,83;100,85
15/Jan/2018;EUR;5,04;2.926.320,00;14.746.451,94;100,77;100,79
12/Jan/2018;EUR;5,04;2.826.320,00;14.236.719,72;100,73;100,72
11/Jan/2018;EUR;5,04;2.826.320,00;14.235.714,71;100,73;100,71
10/Jan/2018;EUR;5,04;2.826.320,00;14.247.130,09;100,81;100,82
09/Jan/2018;EUR;5,05;2.826.320,00;14.262.489,01;100,92;100,93
08/Jan/2018;EUR;5,05;2.826.320,00;14.259.995,89;100,90;100,91
05/Jan/2018;EUR;5,05;2.826.320,00;14.263.334,65;100,92;100,91
04/Jan/2018;EUR;5,04;2.826.320,00;14.256.621,31;100,87;100,86
03/Jan/2018;EUR;5,04;2.826.320,00;14.233.997,21;100,71;100,72
02/Jan/2018;EUR;5,03;2.826.320,00;14.212.114,36;100,56;100,56
29/Dec/2017;EUR;5,02;2.826.320,00;14.201.363,72;100,48;100,46
28/Dec/2017;EUR;5,02;2.826.320,00;14.199.949,72;100,47;100,45
27/Dec/2017;EUR;5,02;2.776.320,00;13.947.095,88;100,46;100,46
22/Dec/2017;EUR;5,02;2.776.320,00;13.942.151,85;100,43;100,38
21/Dec/2017;EUR;5,02;2.776.320,00;13.937.943,62;100,40;100,35
20/Dec/2017;EUR;5,02;2.776.320,00;13.928.674,93;100,33;100,33
19/Dec/2017;EUR;5,02;2.776.320,00;13.927.290,28;100,32;100,31
18/Dec/2017;EUR;5,02;2.776.320,00;13.929.129,07;100,33;100,33
15/Dec/2017;EUR;5,02;2.776.320,00;13.926.004,08;100,31;100,28
14/Dec/2017;EUR;5,02;2.776.320,00;13.929.209,68;100,33;100,30
13/Dec/2017;EUR;5,02;2.755.000,00;13.824.645,50;100,35;100,34
12/Dec/2017;EUR;5,02;2.755.000,00;13.828.086,52;100,37;100,37
11/Dec/2017;EUR;5,02;2.755.000,00;13.825.752,93;100,36;100,35
08/Dec/2017;EUR;5,02;2.755.000,00;13.825.278,89;100,35;100,32
07/Dec/2017;EUR;5,02;2.755.000,00;13.834.655,07;100,42;100,39
06/Dec/2017;EUR;5,02;2.755.000,00;13.837.901,66;100,45;100,44
05/Dec/2017;EUR;5,03;3.055.000,00;15.357.398,88;100,53;100,53
04/Dec/2017;EUR;5,03;3.055.000,00;15.356.107,31;100,52;100,52
01/Dec/2017;EUR;5,03;3.055.000,00;15.359.343,08;100,54;100,52
30/Nov/2017;EUR;5,03;3.055.000,00;15.357.882,19;100,53;100,55
29/Nov/2017;EUR;5,03;3.055.000,00;15.363.679,15;100,57;100,61
28/Nov/2017;EUR;5,03;3.055.000,00;15.366.086,69;100,59;100,62
27/Nov/2017;EUR;5,03;3.055.000,00;15.366.403,71;100,59;100,63
24/Nov/2017;EUR;5,03;3.055.000,00;15.365.784,61;100,58;100,60
23/Nov/2017;EUR;5,03;3.055.000,00;15.360.440,38;100,55;100,57
22/Nov/2017;EUR;5,02;3.055.000,00;15.350.909,04;100,49;100,53
21/Nov/2017;EUR;5,02;3.055.000,00;15.344.504,88;100,44;100,49
20/Nov/2017;EUR;5,02;3.055.000,00;15.333.829,46;100,37;100,42
17/Nov/2017;EUR;5,02;3.055.000,00;15.330.201,79;100,35;100,37
16/Nov/2017;EUR;5,02;3.055.000,00;15.331.068,81;100,36;100,37
15/Nov/2017;EUR;5,01;3.055.000,00;15.293.114,08;100,11;100,15
14/Nov/2017;EUR;5,02;3.055.000,00;15.336.700,94;100,39;100,43
13/Nov/2017;EUR;5,03;3.055.000,00;15.362.061,27;100,56;100,60
10/Nov/2017;EUR;5,03;3.055.000,00;15.362.794,26;100,56;100,57
09/Nov/2017;EUR;5,04;3.055.000,00;15.406.792,55;100,85;100,86
08/Nov/2017;EUR;5,05;3.055.000,00;15.436.780,22;101,05;101,07
07/Nov/2017;EUR;5,06;3.055.000,00;15.462.570,16;101,22;101,23
06/Nov/2017;EUR;5,06;3.055.000,00;15.458.596,97;101,19;101,20
03/Nov/2017;EUR;5,06;3.055.000,00;15.455.483,78;101,17;101,16
02/Nov/2017;EUR;5,06;3.055.000,00;15.448.845,96;101,13;101,11
01/Nov/2017;EUR;5,05;3.055.000,00;15.435.512,60;101,04;101,04
31/Oct/2017;EUR;5,05;3.055.000,00;15.419.140,83;100,93;100,95
30/Oct/2017;EUR;5,04;3.055.000,00;15.409.848,20;100,87;100,91
27/Oct/2017;EUR;5,04;3.055.000,00;15.399.869,00;100,81;100,81
26/Oct/2017;EUR;5,04;3.055.000,00;15.386.594,18;100,72;100,73
25/Oct/2017;EUR;5,04;3.055.000,00;15.383.637,91;100,70;100,74
24/Oct/2017;EUR;5,04;3.055.000,00;15.383.797,09;100,70;100,74
23/Oct/2017;EUR;5,03;3.055.000,00;15.379.920,24;100,68;100,71
20/Oct/2017;EUR;5,03;3.055.000,00;15.377.214,25;100,66;100,66
19/Oct/2017;EUR;5,03;3.055.000,00;15.377.901,42;100,66;100,66
18/Oct/2017;EUR;5,03;3.055.000,00;15.375.079,89;100,64;100,67
17/Oct/2017;EUR;5,03;3.002.000,00;15.101.297,04;100,60;100,62
16/Oct/2017;EUR;5,03;2.000,00;10.052,63;100,52;100,54
13/Oct/2017;EUR;5,02;2.000,00;10.046,90;100,46;100,46
12/Oct/2017;EUR;5,02;2.000,00;10.041,12;100,40;100,40
11/Oct/2017;EUR;5,02;2.000,00;10.033,53;100,32;100,35
10/Oct/2017;EUR;5,02;2.000,00;10.030,04;100,29;100,31
09/Oct/2017;EUR;5,01;2.000,00;10.029,15;100,28;100,30
06/Oct/2017;EUR;5,01;2.000,00;10.028,20;100,27;100,27
05/Oct/2017;EUR;5,01;2.000,00;10.024,74;100,24;100,24
04/Oct/2017;EUR;5,01;2.000,00;10.020,38;100,19;100,22
03/Oct/2017;EUR;5,01;2.000,00;10.017,59;100,17;100,19
02/Oct/2017;EUR;5,01;2.000,00;10.012,92;100,12;100,14
29/Sept/2017;EUR;5,01;2.000,00;10.010,04;--;100,08
28/Sept/2017;EUR;5,00;2.000,00;10.006,91;--;100,05
27/Sept/2017;EUR;5,00;2.000,00;10.005,06;--;100,05
26/Sept/2017;EUR;5,00;2.000,00;10.004,12;--;100,04
25/Sept/2017;EUR;5,00;2.000,00;10.003,75;--;100,04
22/Sept/2017;EUR;5,00;2.000,00;10.001,58;--;100,00
21/Sept/2017;EUR;5,00;2.000,00;10.001,04;100,00;100,00
20/Sept/2017;EUR;0,00;0,00;0,00;100,00;100,00
