As Of;Currency;NAV
11/Apr/2017;EUR;202,11
10/Apr/2017;EUR;202,36
07/Apr/2017;EUR;202,93
06/Apr/2017;EUR;202,36
05/Apr/2017;EUR;202,21
04/Apr/2017;EUR;202,05
03/Apr/2017;EUR;201,56
31/Mar/2017;EUR;201,32
30/Mar/2017;EUR;201,81
29/Mar/2017;EUR;201,87
28/Mar/2017;EUR;201,60
27/Mar/2017;EUR;201,17
24/Mar/2017;EUR;201,25
23/Mar/2017;EUR;200,43
22/Mar/2017;EUR;200,65
21/Mar/2017;EUR;200,53
20/Mar/2017;EUR;200,39
17/Mar/2017;EUR;200,77
16/Mar/2017;EUR;200,96
15/Mar/2017;EUR;201,80
14/Mar/2017;EUR;200,96
13/Mar/2017;EUR;201,10
10/Mar/2017;EUR;200,94
09/Mar/2017;EUR;201,71
08/Mar/2017;EUR;202,04
07/Mar/2017;EUR;202,83
06/Mar/2017;EUR;203,11
03/Mar/2017;EUR;203,65
02/Mar/2017;EUR;203,89
01/Mar/2017;EUR;203,62
28/Feb/2017;EUR;204,39
27/Feb/2017;EUR;204,31
24/Feb/2017;EUR;204,20
23/Feb/2017;EUR;203,61
22/Feb/2017;EUR;203,03
21/Feb/2017;EUR;202,88
20/Feb/2017;EUR;203,55
17/Feb/2017;EUR;203,83
16/Feb/2017;EUR;204,08
15/Feb/2017;EUR;202,87
14/Feb/2017;EUR;203,04
13/Feb/2017;EUR;203,33
10/Feb/2017;EUR;202,95
09/Feb/2017;EUR;203,69
08/Feb/2017;EUR;202,96
07/Feb/2017;EUR;201,99
06/Feb/2017;EUR;201,62
03/Feb/2017;EUR;202,70
02/Feb/2017;EUR;203,13
01/Feb/2017;EUR;202,46
31/Jan/2017;EUR;203,43
30/Jan/2017;EUR;202,88
27/Jan/2017;EUR;203,43
26/Jan/2017;EUR;203,14
25/Jan/2017;EUR;203,96
24/Jan/2017;EUR;205,18
23/Jan/2017;EUR;205,12
20/Jan/2017;EUR;204,27
19/Jan/2017;EUR;204,62
18/Jan/2017;EUR;205,10
17/Jan/2017;EUR;205,39
16/Jan/2017;EUR;205,04
13/Jan/2017;EUR;205,31
12/Jan/2017;EUR;206,02
11/Jan/2017;EUR;206,13
10/Jan/2017;EUR;205,68
09/Jan/2017;EUR;205,50
06/Jan/2017;EUR;205,56
05/Jan/2017;EUR;206,06
04/Jan/2017;EUR;206,43
03/Jan/2017;EUR;206,63
30/Dec/2016;EUR;207,00
29/Dec/2016;EUR;207,61
28/Dec/2016;EUR;206,98
23/Dec/2016;EUR;206,55
22/Dec/2016;EUR;206,06
21/Dec/2016;EUR;206,53
20/Dec/2016;EUR;206,14
19/Dec/2016;EUR;205,72
16/Dec/2016;EUR;204,39
15/Dec/2016;EUR;204,30
14/Dec/2016;EUR;205,21
13/Dec/2016;EUR;204,45
12/Dec/2016;EUR;203,15
09/Dec/2016;EUR;203,42
08/Dec/2016;EUR;203,09
07/Dec/2016;EUR;204,04
06/Dec/2016;EUR;203,92
05/Dec/2016;EUR;203,45
02/Dec/2016;EUR;203,88
01/Dec/2016;EUR;202,45
30/Nov/2016;EUR;202,93
29/Nov/2016;EUR;202,57
28/Nov/2016;EUR;202,25
25/Nov/2016;EUR;201,95
24/Nov/2016;EUR;202,17
23/Nov/2016;EUR;202,03
22/Nov/2016;EUR;203,00
21/Nov/2016;EUR;202,50
18/Nov/2016;EUR;201,84
17/Nov/2016;EUR;201,46
16/Nov/2016;EUR;201,64
15/Nov/2016;EUR;202,42
14/Nov/2016;EUR;201,25
11/Nov/2016;EUR;201,77
10/Nov/2016;EUR;202,83
09/Nov/2016;EUR;204,52
08/Nov/2016;EUR;204,65
07/Nov/2016;EUR;204,92
04/Nov/2016;EUR;204,58
03/Nov/2016;EUR;204,35
02/Nov/2016;EUR;204,65
01/Nov/2016;EUR;204,33
31/Oct/2016;EUR;205,26
28/Oct/2016;EUR;205,47
27/Oct/2016;EUR;205,77
26/Oct/2016;EUR;206,95
25/Oct/2016;EUR;208,43
24/Oct/2016;EUR;208,50
21/Oct/2016;EUR;208,64
20/Oct/2016;EUR;208,65
19/Oct/2016;EUR;208,11
18/Oct/2016;EUR;207,81
17/Oct/2016;EUR;207,08
14/Oct/2016;EUR;206,92
13/Oct/2016;EUR;206,75
12/Oct/2016;EUR;206,44
11/Oct/2016;EUR;207,25
10/Oct/2016;EUR;207,05
07/Oct/2016;EUR;207,32
06/Oct/2016;EUR;207,59
05/Oct/2016;EUR;207,40
04/Oct/2016;EUR;208,64
03/Oct/2016;EUR;208,78
30/Sept/2016;EUR;209,07
29/Sept/2016;EUR;208,64
28/Sept/2016;EUR;208,54
27/Sept/2016;EUR;208,24
26/Sept/2016;EUR;208,63
